kind,path,dataset,method,budget,seed,learner,accuracy,auroc,backend,log_loss,train_rows,train_seconds
downstream,adult\full_data\budget_100\seed_0\random_forest\metrics.json,adult,full_data,budget_100,seed_0,random_forest,0.86175,0.9138572647948476,sklearn_random_forest,0.3043994468413438,12000,4.006617500000175
downstream,adult\full_data\budget_100\seed_0\xgboost\metrics.json,adult,full_data,budget_100,seed_0,xgboost,0.859,0.9154183105965256,xgboost,0.3031570742037412,12000,0.26866549999976996
downstream,adult\full_data\budget_100\seed_1\catboost\metrics.json,adult,full_data,budget_100,seed_1,catboost,0.87125,0.9224806228480689,sklearn_hist_gradient_boosting,0.28654715509452977,12000,2.2118219999993016
downstream,adult\full_data\budget_100\seed_1\lightgbm\metrics.json,adult,full_data,budget_100,seed_1,lightgbm,0.86675,0.9201377513922959,lightgbm,0.2932377069747456,12000,0.25242509999952745
downstream,adult\full_data\budget_100\seed_1\mlp\metrics.json,adult,full_data,budget_100,seed_1,mlp,0.23525,0.5,sklearn_mlp,10.565411939507982,12000,3.7327548000002935
downstream,adult\full_data\budget_100\seed_1\random_forest\metrics.json,adult,full_data,budget_100,seed_1,random_forest,0.86175,0.9138572647948476,sklearn_random_forest,0.3043994468413438,12000,3.9822148000002926
downstream,adult\full_data\budget_100\seed_1\xgboost\metrics.json,adult,full_data,budget_100,seed_1,xgboost,0.859,0.9154183105965256,xgboost,0.3031570742037412,12000,0.2677627000002758
downstream,adult\full_data\budget_100\seed_2\catboost\metrics.json,adult,full_data,budget_100,seed_2,catboost,0.87125,0.9224806228480689,sklearn_hist_gradient_boosting,0.28654715509452977,12000,2.4702007000005324
downstream,adult\full_data\budget_100\seed_2\lightgbm\metrics.json,adult,full_data,budget_100,seed_2,lightgbm,0.86675,0.9201377513922959,lightgbm,0.2932377069747456,12000,0.2688901999999871
downstream,adult\full_data\budget_100\seed_2\mlp\metrics.json,adult,full_data,budget_100,seed_2,mlp,0.23525,0.5,sklearn_mlp,10.565411939507982,12000,4.43728099999953
downstream,adult\full_data\budget_100\seed_2\random_forest\metrics.json,adult,full_data,budget_100,seed_2,random_forest,0.86175,0.9138572647948476,sklearn_random_forest,0.3043994468413438,12000,4.585202500000378
