dataset,method,budget,learner,auroc_mean,auroc_std,accuracy_mean,train_seconds_mean
credit_approval,gaindistill,budget_25,lightgbm,0.5011709601873536,0.0718830717265464,0.5169082125603864,0.017348199999408582
credit_approval,gaindistill,budget_25,mlp,0.37857497693563263,0.08517007702000112,0.3792270531400966,0.05408753333328301
credit_approval,gaindistill,budget_25,random_forest,0.5635866865375062,0.10976305326394539,0.5362318840579711,0.6027784333330904
credit_approval,gaindistill,budget_25,xgboost,0.4988290398126464,0.05802766820467169,0.5217391304347826,0.024266866666948772
credit_approval,gaindistill,budget_50,catboost,0.49840323610815407,0.09738223580760053,0.4734299516908213,0.6456652999998672
credit_approval,gaindistill,budget_50,lightgbm,0.44602938045560997,0.10296116054017748,0.3961352657004831,0.02057786666652343
credit_approval,gaindistill,budget_50,mlp,0.4587680079483358,0.12482687847446682,0.4202898550724638,0.31652026666718786
credit_approval,gaindistill,budget_50,random_forest,0.6223475977574339,0.19783698657214738,0.5700483091787439,0.5312659333333917
credit_approval,gaindistill,budget_50,xgboost,0.4805549641615216,0.04710165794045315,0.48792270531400966,0.022962466666588927
credit_approval,gaindistill_hybrid,budget_10,catboost,0.5,0.0,0.5579710144927537,0.30261723333327
credit_approval,gaindistill_hybrid,budget_10,lightgbm,0.5,0.0,0.5579710144927537,0.00799383333348184
credit_approval,gaindistill_hybrid,budget_10,mlp,0.5889574905968348,0.06862414360227793,0.640096618357488,0.15203860000049949
credit_approval,gaindistill_hybrid,budget_10,random_forest,0.944077780143354,0.003627670972715,0.8768115942028986,0.6019160999997742
credit_approval,gaindistill_hybrid,budget_10,xgboost,0.9468455042225533,0.00455298131639921,0.8574879227053142,0.03270399999989119
credit_approval,gaindistill_hybrid,budget_100,catboost,0.9540841671989213,0.006251972035834847,0.8816425120772946,1.973639799999243
credit_approval,gaindistill_hybrid,budget_100,lightgbm,0.9642324888226529,0.0011853873457165277,0.8985507246376812,0.03157300000081401
credit_approval,gaindistill_hybrid,budget_100,mlp,0.5665318288269109,0.016543104118922132,0.6086956521739131,0.04972776666606175
credit_approval,gaindistill_hybrid,budget_100,random_forest,0.9671421474700163,0.005674277058446079,0.9106280193236715,0.6359607666660546
credit_approval,gaindistill_hybrid,budget_100,xgboost,0.9650840962316373,0.004822121206261978,0.9082125603864734,0.055124233333117445
credit_approval,gaindistill_hybrid,budget_25,catboost,0.9132070115676673,0.009940677562942013,0.8671497584541062,0.7519219000005251
credit_approval,gaindistill_hybrid,budget_25,lightgbm,0.9280036902987723,0.0038914086946708177,0.8695652173913043,0.015795833333565195
credit_approval,gaindistill_hybrid,budget_25,mlp,0.5709672840820382,0.04622475444504793,0.606280193236715,0.03580310000021806
credit_approval,gaindistill_hybrid,budget_25,random_forest,0.9574196295507771,0.001126570709416453,0.8864734299516908,0.6381561000004391
credit_approval,gaindistill_hybrid,budget_25,xgboost,0.9342133276559506,0.005724645373535751,0.8478260869565218,0.030694333333788865
credit_approval,gaindistill_hybrid,budget_50,catboost,0.9415939252004826,0.010675564929897314,0.8623188405797101,0.4001280333329002
credit_approval,gaindistill_hybrid,budget_50,lightgbm,0.9459938968135689,0.014899073831963927,0.8719806763285024,0.02911143333282477
credit_approval,gaindistill_hybrid,budget_50,mlp,0.5544319068909234,0.01620375190125356,0.5990338164251208,0.054569833333516726
credit_approval,gaindistill_hybrid,budget_50,random_forest,0.9557873820168902,0.006493797336518005,0.9009661835748792,0.6319533666664938
credit_approval,gaindistill_hybrid,budget_50,xgboost,0.9574196295507771,0.008363005893720413,0.8743961352657005,0.05502626666748256
credit_approval,gaindistill_path_hybrid,budget_10,catboost,0.5,0.0,0.5579710144927537,0.17421413333310434
credit_approval,gaindistill_path_hybrid,budget_10,lightgbm,0.5,0.0,0.5579710144927537,0.006698166666562126
credit_approval,gaindistill_path_hybrid,budget_10,mlp,0.6337733304946419,0.03880779922818004,0.6207729468599034,0.24740076666663904
