dataset,method,method_label,density_beta,budget,seed,mmd2,rows,mlp_auroc,xgboost_auroc,sld_inf_norm,sld_rank_correlation_direct
breast_w,histdistill_density_strong,beta=0.70,0.7,budget_25,seed_1,0.014507825075325775,50,0.9456521739130436,0.989356884057971,10.050807076013273,-0.0785665435644918
breast_w,histdistill_density_xstrong,beta=1.25,1.25,budget_50,seed_0,0.016824182852531178,100,0.9748641304347826,0.9889039855072465,8.360580306539537,0.0095873156997851
breast_w,histdistill_density_xstrong,beta=1.25,1.25,budget_50,seed_2,0.02411160755227093,100,0.9868659420289854,0.9898097826086956,9.6593185322644,-0.0279248587338724
breast_w,histdistill_density_xstrong,beta=1.25,1.25,budget_50,seed_1,0.029479462097452558,100,0.9789402173913042,0.9909420289855072,9.44584485162734,-0.0401860210641499
breast_w,histdistill_density_xstrong,beta=1.25,1.25,budget_25,seed_0,0.014325204584294648,50,0.960144927536232,0.9923007246376812,9.81077239392944,0.0194269710421638
breast_w,histdistill_density_xstrong,beta=1.25,1.25,budget_25,seed_2,0.0169679122421027,50,0.936141304347826,0.9898097826086956,9.826917049780874,-0.0226983540614866
breast_w,histdistill_density_xstrong,beta=1.25,1.25,budget_25,seed_1,0.014310284267025297,50,0.9413496376811594,0.9884510869565216,10.096396693576894,-0.0761592121460812
credit_approval,histdistill_refined,beta=0.00,0.0,budget_50,seed_0,0.00395133410822035,100,0.6406216734085586,0.9544390036193314,24.91037906513979,0.1480932778431195
credit_approval,histdistill_refined,beta=0.00,0.0,budget_50,seed_2,0.0030695062595041955,100,0.6731956568022142,0.9489035554609324,24.023364064061703,0.2202125140469604
credit_approval,histdistill_refined,beta=0.00,0.0,budget_50,seed_1,0.002165959848919763,100,0.7555886736214605,0.957419629550777,25.776861657212265,0.0926676731879082
credit_approval,histdistill_refined,beta=0.00,0.0,budget_25,seed_0,0.00608014136165258,50,0.5377900787736853,0.931232701724505,29.998104885111943,0.0447911424436705
credit_approval,histdistill_refined,beta=0.00,0.0,budget_25,seed_2,0.007136736868174509,50,0.6868213753459655,0.9318714072812434,32.090327235629175,0.0307596190158373
credit_approval,histdistill_refined,beta=0.00,0.0,budget_25,seed_1,0.00517004711871083,50,0.6904407068341494,0.948051948051948,24.366857149445625,0.1118924223539284
credit_approval,histdistill_density_weak,beta=0.15,0.15,budget_50,seed_0,0.0030161768941846523,100,0.535341707472855,0.9525228869491164,25.73729694329315,0.1572649959287071
credit_approval,histdistill_density_weak,beta=0.15,0.15,budget_50,seed_2,0.002812766121971677,100,0.529699808388333,0.9512454758356398,26.08083362705285,0.2268731012065211
credit_approval,histdistill_density_weak,beta=0.15,0.15,budget_50,seed_1,0.0020901249303770797,100,0.74685969767937,0.9565680221417926,26.46394625964734,0.1172538974386419
credit_approval,histdistill_density_weak,beta=0.15,0.15,budget_25,seed_0,0.005243387392062315,50,0.5382158824781775,0.9363423461784116,31.130351998630854,0.0497954406175572
credit_approval,histdistill_density_weak,beta=0.15,0.15,budget_25,seed_2,0.00606222828650016,50,0.6865020225675963,0.9354907387694272,31.50183405739787,0.0986675870904412
credit_approval,histdistill_density_weak,beta=0.15,0.15,budget_25,seed_1,0.004470907113851896,50,0.6933148818394719,0.9437939110070256,24.23716310275737,0.1064185321816636
credit_approval,histdistill_density_mid,beta=0.35,0.35,budget_50,seed_0,0.003016176853298469,100,0.535341707472855,0.9525228869491164,25.737297383547272,0.1572649959287071
credit_approval,histdistill_density_mid,beta=0.35,0.35,budget_50,seed_2,0.0028127660646066754,100,0.529699808388333,0.9512454758356398,26.0808334772384,0.2268731012065211
credit_approval,histdistill_density_mid,beta=0.35,0.35,budget_50,seed_1,0.0020901249303770797,100,0.74685969767937,0.9565680221417926,26.46394625964734,0.1172538974386419
credit_approval,histdistill_density_mid,beta=0.35,0.35,budget_25,seed_0,0.005243387392062315,50,0.5382158824781775,0.9363423461784116,31.130351998630854,0.0497954406175572
