dataset,seed,state,depth,dose_ratio,epsilon,margin,agreement,split_regret_norm
australian,seed_2,root,0,0.0,0.0,55.16541470118885,1.0,0.0
australian,seed_2,root,0,0.25,13.791353675297213,55.16541470118885,1.0,0.0
australian,seed_2,root,0,0.49,27.031053203582537,55.16541470118885,1.0,0.0
australian,seed_2,root,0,0.5,27.582707350594426,55.16541470118885,1.0,0.0
australian,seed_2,root,0,0.75,41.374061025891635,55.16541470118885,0.828125,0.09840371852795789
australian,seed_2,root,0,1.0,55.16541470118885,55.16541470118885,0.6015625,0.239285094774701
australian,seed_2,root,0,1.5,82.74812205178327,55.16541470118885,0.5234375,0.29399051671107385
australian,seed_2,root,0,2.0,110.3308294023777,55.16541470118885,0.328125,0.43215282953200607
australian,seed_2,probe_depth_0,0,0.0,0.0,55.16541470118885,1.0,0.0
australian,seed_2,probe_depth_0,0,0.25,13.791353675297213,55.16541470118885,1.0,0.0
australian,seed_2,probe_depth_0,0,0.49,27.031053203582537,55.16541470118885,1.0,0.0
australian,seed_2,probe_depth_0,0,0.5,27.582707350594426,55.16541470118885,1.0,0.0
australian,seed_2,probe_depth_0,0,0.75,41.374061025891635,55.16541470118885,0.8671875,0.07464001002924547
australian,seed_2,probe_depth_0,0,1.0,55.16541470118885,55.16541470118885,0.6328125,0.21632791470019508
australian,seed_2,probe_depth_0,0,1.5,82.74812205178327,55.16541470118885,0.40625,0.36906834785764747
australian,seed_2,probe_depth_0,0,2.0,110.3308294023777,55.16541470118885,0.3671875,0.4077863043888204
australian,seed_2,probe_depth_1,1,0.0,0.0,55.16541470118885,1.0,0.0
australian,seed_2,probe_depth_1,1,0.25,13.791353675297213,55.16541470118885,1.0,0.0
australian,seed_2,probe_depth_1,1,0.49,27.031053203582537,55.16541470118885,1.0,0.0
australian,seed_2,probe_depth_1,1,0.5,27.582707350594426,55.16541470118885,1.0,0.0
australian,seed_2,probe_depth_1,1,0.75,41.374061025891635,55.16541470118885,0.8359375,0.09219453950882663
australian,seed_2,probe_depth_1,1,1.0,55.16541470118885,55.16541470118885,0.6015625,0.2289091808301254
australian,seed_2,probe_depth_1,1,1.5,82.74812205178327,55.16541470118885,0.484375,0.3273606130008759
australian,seed_2,probe_depth_1,1,2.0,110.3308294023777,55.16541470118885,0.328125,0.42805644673446164
australian,seed_2,probe_depth_2,2,0.0,0.0,20.674553029045896,1.0,0.0
australian,seed_2,probe_depth_2,2,0.25,5.168638257261474,20.674553029045896,1.0,0.0
australian,seed_2,probe_depth_2,2,0.49,10.13053098423249,20.674553029045896,1.0,0.0
australian,seed_2,probe_depth_2,2,0.5,10.337276514522948,20.674553029045896,1.0,0.0
australian,seed_2,probe_depth_2,2,0.75,15.505914771784422,20.674553029045896,0.921875,0.029870780730273085
australian,seed_2,probe_depth_2,2,1.0,20.674553029045896,20.674553029045896,0.8046875,0.08158254420654794
australian,seed_2,probe_depth_2,2,1.5,31.011829543568844,20.674553029045896,0.5859375,0.18873699227381252
australian,seed_2,probe_depth_2,2,2.0,41.34910605809179,20.674553029045896,0.3671875,0.3084433743615814
australian,seed_2,probe_depth_2,2,0.0,0.0,23.79672936064501,1.0,0.0
australian,seed_2,probe_depth_2,2,0.25,5.9491823401612525,23.79672936064501,1.0,0.0
australian,seed_2,probe_depth_2,2,0.49,11.660397386716054,23.79672936064501,1.0,0.0
australian,seed_2,probe_depth_2,2,0.5,11.898364680322505,23.79672936064501,1.0,0.0
australian,seed_2,probe_depth_2,2,0.75,17.84754702048376,23.79672936064501,0.7890625,0.1554922939755133
australian,seed_2,probe_depth_2,2,1.0,23.79672936064501,23.79672936064501,0.6484375,0.26186283542603006
