task,dataset,method,method_label,budget,seed,learner,train_rows,select_seconds,train_seconds,primary_metric,r2,mae,rmse
regression,house_16H,histdistill,HistDistill,budget_25,seed_0,lightgbm,25,0.5750084000010247,0.004527600000074017,-0.10456589909278269,-0.10456589909278269,28075.849333333335,54161.76452200728
regression,house_16H,histdistill,HistDistill,budget_25,seed_0,mlp,25,0.5325763000000734,0.09271179999996093,0.05767241655012245,0.05767241655012245,24877.300563151042,50026.24905976579
regression,house_16H,histdistill,HistDistill,budget_50,seed_0,xgboost,50,0.5675553000000946,0.055632200001127785,0.2581838551422573,0.2581838551422573,25227.794270833332,44385.91013918501
regression,house_16H,histdistill,HistDistill,budget_50,seed_0,lightgbm,50,0.651237799998853,0.014593100000638515,0.2385999765795357,0.2385999765795357,27307.797826604776,44967.985470637235
regression,house_16H,histdistill,HistDistill,budget_50,seed_0,mlp,50,0.6600636999992275,0.11421460000019579,-0.3040963029608519,-0.3040963029608519,31956.235444335936,58850.72547176369
regression,house_16H,random,Random,budget_25,seed_0,xgboost,25,0.00033199999961652793,0.051173300000300515,-0.44056314671998376,-0.44056314671998376,35144.76799540202,61853.33760996749
regression,house_16H,random,Random,budget_25,seed_0,lightgbm,25,0.0003065999990212731,0.004645900000468828,-0.028970681296565548,-0.028970681296565548,35854.16036666666,52275.5353734399
regression,house_16H,random,Random,budget_25,seed_0,mlp,25,0.0003066000008402625,0.09994320000078005,-2.0092279242324733,-2.0092279242324733,54347.8629671224,89397.32641615036
regression,house_16H,random,Random,budget_50,seed_0,xgboost,50,0.0004245999989507254,0.0604354000006424,0.2815618731425119,0.2815618731425119,26239.41566772461,43680.90975675
regression,house_16H,random,Random,budget_50,seed_0,lightgbm,50,0.0002524999999877764,0.012435100001312094,0.19047232176381224,0.19047232176381224,28624.79715483414,46367.41026091121
regression,house_16H,random,Random,budget_50,seed_0,mlp,50,0.00023630000032426324,0.14612579999993613,-0.011201147400548228,-0.011201147400548228,30737.378977864584,51822.19043360369
regression,house_16H,herding,Herding,budget_25,seed_0,xgboost,25,0.013879899999665213,0.045775200000207406,0.0797392189506565,0.0797392189506565,23818.951453857422,49437.038428082305
regression,house_16H,herding,Herding,budget_25,seed_0,lightgbm,25,0.014272200000050361,0.0057304999991174554,-0.10923512429255822,-0.10923512429255822,28074.241033333336,54276.120207485044
regression,house_16H,herding,Herding,budget_25,seed_0,mlp,25,0.015207899999950314,0.08107600000039383,0.00959343042888916,0.00959343042888916,27573.181541341146,51286.58068247815
regression,house_16H,herding,Herding,budget_50,seed_0,xgboost,50,0.015742599998702644,0.06464179999966291,0.04789218251550453,0.04789218251550453,31954.93478515625,50285.185268592
regression,house_16H,herding,Herding,budget_50,seed_0,lightgbm,50,0.013936600000306498,0.012596500000654487,0.2111454751716645,0.2111454751716645,26494.584938336702,45771.53208070668
regression,house_16H,herding,Herding,budget_50,seed_0,mlp,50,0.01589319999948202,0.11278350000065984,-0.6678621500775495,-0.6678621500775495,44738.67766194662,66554.44490531115
