dataset,method,method_label,budget,seed,reg_lambda,probe_depth,sld_inf,sld_l1,sld_inf_norm,sld_l1_norm,sld_root_inf,sld_root_l1,sld_root_inf_norm,sld_root_l1_norm,sld_root_margin,sld_root_margin_satisfied,sld_root_agreement_direct,sld_rank_correlation_direct,sld_margin_satisfied_rate,sld_states,sld_depth_0_inf_norm,sld_depth_0_agreement,sld_depth_1_inf_norm,sld_depth_1_agreement,sld_depth_2_inf_norm,sld_depth_2_agreement
australian,histdistill_refined,HistDistill-Refined,budget_50,seed_1,10.0,2,4.454886607482567,106.95708932906136,0.3123371067220717,0.07371732987773345,7.0108754677803375,152.38725142548938,0.07604708550787524,0.015305065828614298,49.92026476725809,1.0,1.0,0.8441144060422253,0.631578947368421,19.0,0.07173872429582881,1.0,0.36431205326676913,0.6666666666666666,0.42372988582995064,0.75
australian,histdistill_refined,HistDistill-Refined,budget_50,seed_2,0.1,0,7.501480270123267,190.27099068005825,0.10020664824388148,0.02309056499021448,8.989349998746885,245.56493089091316,0.08166881556205892,0.020850214864573544,55.65285586258567,1.0,1.0,0.9582140338870145,1.0,5.0,0.10020664824388148,1.0,,,,
australian,histdistill_refined,HistDistill-Refined,budget_50,seed_2,0.1,1,7.336161411387309,181.5990587448568,0.10226640743075067,0.02353637613964182,8.989349998746885,245.56493089091316,0.08166881556205892,0.020850214864573544,55.65285586258567,1.0,1.0,0.9569772969649796,1.0,9.0,0.10020664824388148,1.0,0.10484110641433714,1.0,,
australian,histdistill_refined,HistDistill-Refined,budget_50,seed_2,0.1,2,8.450908701025487,195.78492075295873,0.137643242979003,0.029181216380796335,8.989349998746885,245.56493089091316,0.08166881556205892,0.020850214864573544,55.65285586258567,1.0,1.0,0.9389349472680181,0.8181818181818182,11.0,0.10020664824388148,1.0,0.10484110641433714,1.0,0.29683900294613863,1.0
australian,histdistill_refined,HistDistill-Refined,budget_50,seed_2,1.0,0,7.284486084231321,180.6499373305888,0.09921007946660079,0.02232564474514917,8.715866201590057,231.12203304317643,0.08058075275441537,0.0197851049793838,55.16541470118885,1.0,1.0,0.9599074846021516,1.0,5.0,0.09921007946660079,1.0,,,,
australian,histdistill_refined,HistDistill-Refined,budget_50,seed_2,1.0,1,7.12544384896924,172.32349295797647,0.10128000465684363,0.02277437658462761,8.715866201590057,231.12203304317643,0.08058075275441537,0.0197851049793838,55.16541470118885,1.0,1.0,0.9584577476290003,1.0,9.0,0.09921007946660079,1.0,0.10386741114464715,1.0,,
australian,histdistill_refined,HistDistill-Refined,budget_50,seed_2,1.0,2,8.17716321613128,184.97356361682304,0.1366004436651637,0.028185789199288623,8.715866201590057,231.12203304317643,0.08058075275441537,0.0197851049793838,55.16541470118885,1.0,1.0,0.9413361070717697,0.8181818181818182,11.0,0.09921007946660079,1.0,0.10386741114464715,1.0,0.29554241920260416,1.0
australian,histdistill_refined,HistDistill-Refined,budget_50,seed_2,10.0,0,5.936032650327909,139.16091958431048,0.09647477836275617,0.02059093695348844,6.868338648169416,169.1669988245172,0.07450098619990905,0.017475783953143188,49.92026476725809,1.0,1.0,0.9661185229414769,1.0,5.0,0.09647477836275617,1.0,,,,
australian,histdistill_refined,HistDistill-Refined,budget_50,seed_2,10.0,1,5.832443095012185,133.14482646302451,0.09891631082529476,0.021012743048634895,6.868338648169416,169.1669988245172,0.07450098619990905,0.017475783953143188,49.92026476725809,1.0,1.0,0.9646630539623189,1.0,9.0,0.09647477836275617,1.0,0.10196822640346798,1.0,,
australian,histdistill_refined,HistDistill-Refined,budget_50,seed_2,10.0,2,6.447241098424445,139.9315926007225,0.13318152989225343,0.026444258266035525,6.868338648169416,169.1669988245172,0.07450098619990905,0.017475783953143188,49.92026476725809,1.0,1.0,0.9481025520261821,0.8181818181818182,11.0,0.09647477836275617,1.0,0.10196822640346798,1.0,0.28737501569356744,1.0
