dataset,seed,budget,method,method_label,coverage_value,coverage_ratio,coverage_proxy_upper_bound,coverage_to_proxy_upper_bound,matched_rows,seed_n
adult,seed_1,budget_25,histdistill_density,HistDistill-Density,12145862511.64269,0.006132486570730381,81730823761.41496,0.14860810099135133,50,1
adult,seed_1,budget_25,herding,Herding,17545325251.909863,0.008858693352019656,81730823761.41496,0.21467207161801533,50,1
adult,seed_1,budget_25,random,Random,14787558501.500212,0.007466287703933108,81730823761.41496,0.18093000683154012,50,1
adult,seed_1,budget_50,histdistill_greedy,HistDistill-Greedy,150600588110.08685,0.07603874020835569,150600588110.08676,1.0000000000000007,100,1
adult,seed_1,budget_50,histdistill_importance,ImportanceSample,18230506574.249313,0.009204643691382889,150600588110.08676,0.12105202777112058,100,1
adult,seed_1,budget_50,histdistill_refined,HistDistill-Refined,25861811092.387264,0.013057714844606874,150600588110.08676,0.17172450265255718,100,1
adult,seed_1,budget_50,histdistill_density,HistDistill-Density,25861811092.387264,0.013057714844606874,150600588110.08676,0.17172450265255718,100,1
adult,seed_1,budget_50,herding,Herding,35554488480.69775,0.01795158004860192,150600588110.08676,0.23608465894374828,100,1
adult,seed_1,budget_50,random,Random,35252713677.79463,0.017799212942156067,150600588110.08676,0.23408085001650478,100,1
adult,seed_2,budget_25,histdistill_greedy,HistDistill-Greedy,74644497897.80641,0.041922497308366044,74644497897.8064,1.0000000000000002,50,2
adult,seed_2,budget_25,histdistill_importance,ImportanceSample,8657462530.431543,0.004862280005234814,74644497897.8064,0.11598259448786463,50,2
adult,seed_2,budget_25,histdistill_refined,HistDistill-Refined,12539842234.586784,0.00704273613102096,74644497897.8064,0.1679941936477986,50,2
adult,seed_2,budget_25,histdistill_density,HistDistill-Density,12539842234.586784,0.00704273613102096,74644497897.8064,0.1679941936477986,50,2
adult,seed_2,budget_25,herding,Herding,18409826184.679096,0.010339487978488722,74644497897.8064,0.2466333983501832,50,2
adult,seed_2,budget_25,random,Random,15998165211.99157,0.008985029800277098,74644497897.8064,0.21432477493376928,50,2
adult,seed_2,budget_50,histdistill_greedy,HistDistill-Greedy,145531673938.1092,0.08173477457514895,145531673938.1091,1.0000000000000007,100,2
adult,seed_2,budget_50,histdistill_importance,ImportanceSample,12172163633.293531,0.006836237251570219,145531673938.1091,0.08363927455730387,100,2
adult,seed_2,budget_50,histdistill_refined,HistDistill-Refined,25952304072.025505,0.014575560533542808,145531673938.1091,0.17832753083746125,100,2
adult,seed_2,budget_50,histdistill_density,HistDistill-Density,25952304072.025505,0.014575560533542808,145531673938.1091,0.17832753083746125,100,2
adult,seed_2,budget_50,herding,Herding,37617657371.33807,0.021127158522199672,145531673938.1091,0.258484330959705,100,2
adult,seed_2,budget_50,random,Random,28352318110.328743,0.015923477458358308,145531673938.1091,0.1948188826742023,100,2
agaricus_lepiota,seed_0,budget_25,histdistill_greedy,HistDistill-Greedy,6546036314.755857,0.09666141203932826,6546036314.7558565,1.0000000000000002,50,0
agaricus_lepiota,seed_0,budget_25,histdistill_importance,ImportanceSample,847817849.8131826,0.012519220269273108,6546036314.7558565,0.12951621546951395,50,0
agaricus_lepiota,seed_0,budget_25,histdistill_refined,HistDistill-Refined,718896054.9760591,0.010615509056503016,6546036314.7558565,0.10982158063430654,50,0
agaricus_lepiota,seed_0,budget_25,histdistill_density,HistDistill-Density,718896054.9760591,0.010615509056503016,6546036314.7558565,0.10982158063430654,50,0
agaricus_lepiota,seed_0,budget_25,herding,Herding,139857428.09305423,0.002065191183432602,6546036314.7558565,0.021365208099715594,50,0
agaricus_lepiota,seed_0,budget_25,random,Random,494603176.3714535,0.007303509960589749,6546036314.7558565,0.07555765849580387,50,0
agaricus_lepiota,seed_0,budget_50,histdistill_greedy,HistDistill-Greedy,12040914900.085022,0.17780100514627442,12040914900.085014,1.0000000000000007,100,0
agaricus_lepiota,seed_0,budget_50,histdistill_importance,ImportanceSample,2505925935.20277,0.03700351292226342,12040914900.085014,0.2081175688057622,100,0
agaricus_lepiota,seed_0,budget_50,histdistill_refined,HistDistill-Refined,1434675449.8746314,0.021184996253448458,12040914900.085014,0.11915003650299878,100,0
agaricus_lepiota,seed_0,budget_50,histdistill_density,HistDistill-Density,1434675449.8746314,0.021184996253448458,12040914900.085014,0.11915003650299878,100,0
agaricus_lepiota,seed_0,budget_50,herding,Herding,752732460.7204789,0.011115151068909609,12040914900.085014,0.06251455698895142,100,0
agaricus_lepiota,seed_0,budget_50,random,Random,695359730.9227115,0.010267962204053781,12040914900.085014,0.05774974216600451,100,0
agaricus_lepiota,seed_1,budget_25,histdistill_greedy,HistDistill-Greedy,7505848745.648567,0.10405010290129493,7505848745.648565,1.0000000000000002,50,1
agaricus_lepiota,seed_1,budget_25,histdistill_importance,ImportanceSample,1840433526.5143776,0.025513077109078776,7505848745.648565,0.24519992193838824,50,1
agaricus_lepiota,seed_1,budget_25,histdistill_refined,HistDistill-Refined,779075952.457881,0.010799968900007773,7505848745.648565,0.10379585025737986,50,1
agaricus_lepiota,seed_1,budget_25,histdistill_density,HistDistill-Density,779075952.457881,0.010799968900007773,7505848745.648565,0.10379585025737986,50,1
agaricus_lepiota,seed_1,budget_25,herding,Herding,171838669.65208954,0.0023821198462182147,7505848745.648565,0.022893969153283452,50,1
agaricus_lepiota,seed_1,budget_25,random,Random,580702328.4882697,0.00805000727855795,7505848745.648565,0.07736664408870823,50,1
agaricus_lepiota,seed_1,budget_50,histdistill_greedy,HistDistill-Greedy,13733110073.376244,0.19037574093376386,13733110073.376236,1.0000000000000007,100,1
agaricus_lepiota,seed_1,budget_50,histdistill_importance,ImportanceSample,3647258736.1879196,0.05056025769610792,13733110073.376236,0.26558140994287205,100,1
agaricus_lepiota,seed_1,budget_50,histdistill_refined,HistDistill-Refined,1521010347.4291775,0.02108506160022083,13733110073.376236,0.11075498115884849,100,1
agaricus_lepiota,seed_1,budget_50,histdistill_density,HistDistill-Density,1521010347.4291775,0.02108506160022083,13733110073.376236,0.11075498115884849,100,1
agaricus_lepiota,seed_1,budget_50,herding,Herding,831956329.4296651,0.01153302506085344,13733110073.376236,0.060580329217818,100,1
agaricus_lepiota,seed_1,budget_50,random,Random,1271883306.8988562,0.01763152888445663,13733110073.376236,0.09261436776543423,100,1
agaricus_lepiota,seed_2,budget_25,histdistill_greedy,HistDistill-Greedy,7372679536.932431,0.0898771034551516,7372679536.932428,1.0000000000000004,50,2
agaricus_lepiota,seed_2,budget_25,histdistill_importance,ImportanceSample,1224252119.9390075,0.014924320782933178,7372679536.932428,0.16605253406258663,50,2
agaricus_lepiota,seed_2,budget_25,histdistill_refined,HistDistill-Refined,662012660.610846,0.008070306065560716,7372679536.932428,0.08979268084209877,50,2
agaricus_lepiota,seed_2,budget_25,histdistill_density,HistDistill-Density,662012660.610846,0.008070306065560716,7372679536.932428,0.08979268084209877,50,2
agaricus_lepiota,seed_2,budget_25,herding,Herding,269508564.267365,0.003285460732609804,7372679536.932428,0.03655503578004425,50,2
agaricus_lepiota,seed_2,budget_25,random,Random,757644138.9262581,0.00923610748512161,7372679536.932428,0.102763742155202,50,2
agaricus_lepiota,seed_2,budget_50,histdistill_greedy,HistDistill-Greedy,14435196677.03228,0.17597315313082232,14435196677.032272,1.0000000000000004,100,2
agaricus_lepiota,seed_2,budget_50,histdistill_importance,ImportanceSample,2278847104.648166,0.02778042582170258,14435196677.032272,0.15786740947381908,100,2
agaricus_lepiota,seed_2,budget_50,histdistill_refined,HistDistill-Refined,1647018688.6210997,0.020078082646646216,14435196677.032272,0.11409741934736907,100,2
agaricus_lepiota,seed_2,budget_50,histdistill_density,HistDistill-Density,1647018688.6210997,0.020078082646646216,14435196677.032272,0.11409741934736907,100,2
agaricus_lepiota,seed_2,budget_50,herding,Herding,1056940628.7956249,0.01288469975730724,14435196677.032272,0.07321969020881543,100,2
agaricus_lepiota,seed_2,budget_50,random,Random,1445179552.9514947,0.017617550246315776,14435196677.032272,0.10011498875182688,100,2
australian,seed_0,budget_25,histdistill_greedy,HistDistill-Greedy,11208.719040578075,0.1407316222399748,11208.719040578075,1.0,50,0
australian,seed_0,budget_25,histdistill_importance,ImportanceSample,9940.405383725189,0.12480724784965945,11208.719040578075,0.8868457981450595,50,0
australian,seed_0,budget_25,histdistill_refined,HistDistill-Refined,9682.06840420176,0.12156368521941689,11208.719040578075,0.8637979388323057,50,0
australian,seed_0,budget_25,histdistill_density,HistDistill-Density,9682.06840420176,0.12156368521941689,11208.719040578075,0.8637979388323057,50,0
australian,seed_0,budget_25,herding,Herding,9616.83410669207,0.12074463279415863,11208.719040578075,0.8579779787393167,50,0
australian,seed_0,budget_25,random,Random,9914.316715385408,0.12447969029341718,11208.719040578075,0.8845182647092286,50,0
australian,seed_0,budget_50,histdistill_greedy,HistDistill-Greedy,21548.63269154533,0.27055491575405993,21548.63269154533,1.0,100,0
australian,seed_0,budget_50,histdistill_importance,ImportanceSample,20357.457350148106,0.2555990552707873,21548.63269154533,0.9447215348440839,100,0
australian,seed_0,budget_50,histdistill_refined,HistDistill-Refined,19401.779218180574,0.24359999156295767,21548.63269154533,0.9003717078435757,100,0
australian,seed_0,budget_50,histdistill_density,HistDistill-Density,19401.779218180574,0.24359999156295767,21548.63269154533,0.9003717078435757,100,0
australian,seed_0,budget_50,herding,Herding,19292.424427984275,0.24222698212554353,21548.63269154533,0.8952969176347656,100,0
australian,seed_0,budget_50,random,Random,19632.714268657488,0.24649950792767603,21548.63269154533,0.9110886314545815,100,0
australian,seed_1,budget_25,histdistill_greedy,HistDistill-Greedy,4600190654.260532,0.9999856182033472,4600190654.260534,0.9999999999999996,50,1
australian,seed_1,budget_25,histdistill_importance,ImportanceSample,478722859.5728322,0.1040643770350351,4600190654.260534,0.10406587368926895,50,1
australian,seed_1,budget_25,histdistill_refined,HistDistill-Refined,470671605.37673414,0.10231420209453762,4600190654.260534,0.10231567357774937,50,1
australian,seed_1,budget_25,histdistill_density,HistDistill-Density,470671605.37673414,0.10231420209453762,4600190654.260534,0.10231567357774937,50,1
australian,seed_1,budget_25,herding,Herding,459283362.24949396,0.09983863527573718,4600190654.260534,0.09984007115533829,50,1
australian,seed_1,budget_25,random,Random,565275013.1671016,0.12287901219339233,4600190654.260534,0.12288077943977471,50,1
australian,seed_1,budget_50,histdistill_greedy,HistDistill-Greedy,4600201396.106919,0.9999879532569802,4600201396.106918,1.0000000000000002,100,1
australian,seed_1,budget_50,histdistill_importance,ImportanceSample,444903499.4804958,0.09671275266749832,4600201396.106918,0.09671391775521197,100,1
australian,seed_1,budget_50,histdistill_refined,HistDistill-Refined,1157084452.8007326,0.2515260559420048,4600201396.106918,0.25152908604826646,100,1
australian,seed_1,budget_50,histdistill_density,HistDistill-Density,1157084452.8007326,0.2515260559420048,4600201396.106918,0.25152908604826646,100,1
australian,seed_1,budget_50,herding,Herding,1507286437.8868506,0.32765267217866906,4600201396.106918,0.32765661937376145,100,1
