task,dataset,method,method_label,budget,seed,learner,train_rows,select_seconds,train_seconds,primary_metric,accuracy,macro_f1,macro_auroc
multiclass,mfeat_fourier,k_center,K-center,budget_50,seed_0,xgboost,500,0.3372185000007448,5.172054399999979,0.9807638888888889,0.8425,0.842154957385722,0.9807638888888889
multiclass,mfeat_fourier,k_center,K-center,budget_50,seed_0,lightgbm,500,0.3489332999997714,3.4264874999989843,0.9741944444444444,0.8225,0.8216395603074276,0.9741944444444444
multiclass,mfeat_fourier,k_center,K-center,budget_50,seed_0,mlp,500,0.32829750000018976,1.284862799999246,0.971347222222222,0.8175,0.8188586771270531,0.971347222222222
multiclass,mfeat_fourier,full_data,Full data,budget_25,seed_0,xgboost,1200,1.5400000847876072e-05,6.649340899999515,0.9832291666666666,0.8325,0.8334090764945369,0.9832291666666666
multiclass,mfeat_fourier,full_data,Full data,budget_25,seed_0,lightgbm,1200,2.4500001018168405e-05,5.202649800001382,0.9827361111111111,0.8325,0.8314915512633354,0.9827361111111111
multiclass,mfeat_fourier,full_data,Full data,budget_25,seed_0,mlp,1200,3.119999928458128e-05,2.260282200000802,0.9744930555555555,0.8275,0.8271829758131167,0.9744930555555555
multiclass,mfeat_fourier,full_data,Full data,budget_50,seed_0,xgboost,1200,2.159999894502107e-05,6.31651839999904,0.9832291666666666,0.8325,0.8334090764945369,0.9832291666666666
multiclass,mfeat_fourier,full_data,Full data,budget_50,seed_0,lightgbm,1200,2.1500000002561137e-05,4.871062000000165,0.9827361111111111,0.8325,0.8314915512633354,0.9827361111111111
multiclass,mfeat_fourier,full_data,Full data,budget_50,seed_0,mlp,1200,1.7499998648418114e-05,2.3451349000006303,0.9744930555555555,0.8275,0.8271829758131167,0.9744930555555555
multiclass,optdigits,histdistill,HistDistill,budget_25,seed_0,xgboost,250,3.0876490000009653,0.3375084999988758,0.9925129738544749,0.905693950177936,0.9055404736274613,0.9925129738544749
multiclass,optdigits,histdistill,HistDistill,budget_25,seed_0,lightgbm,250,2.685423599999922,1.7278893999991851,0.9935911796170409,0.905693950177936,0.9057295958407439,0.9935911796170409
multiclass,optdigits,histdistill,HistDistill,budget_25,seed_0,mlp,250,2.5367530999992596,0.618863900001088,0.9924935590268864,0.9386120996441281,0.9386878437236896,0.9924935590268864
multiclass,optdigits,histdistill,HistDistill,budget_50,seed_0,xgboost,500,3.609286599999905,0.6067817999992258,0.9961090197966838,0.9412811387900356,0.941511608421439,0.9961090197966838
multiclass,optdigits,histdistill,HistDistill,budget_50,seed_0,lightgbm,500,3.631894599999214,3.0129944999989675,0.9965771243824697,0.9350533807829181,0.9352431915178177,0.9965771243824697
multiclass,optdigits,histdistill,HistDistill,budget_50,seed_0,mlp,500,3.6704640999996627,0.893603799999255,0.9951533234059926,0.9501779359430605,0.9501729773436729,0.9951533234059926
