dataset,method,method_label,budget,seed,checkpoint,rho_max,rho_mean,rho_p90,rows
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,random,Random,budget_50,seed_0,10,0.6195284277200699,0.1736255605891347,0.33381248563528076,100
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,random,Random,budget_50,seed_0,25,0.9827363342046738,0.3190477568190545,0.683332771062851,100
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,random,Random,budget_50,seed_0,50,1.507708877325058,0.488658987316303,1.040425291657448,100
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,random,Random,budget_50,seed_1,1,0.14616470132023096,0.0798195917531848,0.14599999599158764,100
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,random,Random,budget_50,seed_1,5,0.5410588793456554,0.15945617761230096,0.2764213778078556,100
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,random,Random,budget_50,seed_1,10,0.6571946144104004,0.2659287685342133,0.4746157288551331,100
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,random,Random,budget_50,seed_1,25,1.2757221162319183,0.4615264472458512,0.7666941449046136,100
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,random,Random,budget_50,seed_1,50,1.917710304260254,0.6960547149088234,1.1702379286289215,100
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,random,Random,budget_50,seed_2,1,0.14707070961594582,0.045177591852843764,0.07848641462624073,100
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,random,Random,budget_50,seed_2,5,0.4053937718272209,0.1308267179178074,0.2620396152138711,100
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,random,Random,budget_50,seed_2,10,0.8563905917108059,0.20821900715120137,0.40306934565305724,100
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,random,Random,budget_50,seed_2,25,1.4904133975505829,0.40166834300383925,0.7580469921231272,100
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,random,Random,budget_50,seed_2,50,2.1190378554165363,0.5599097340926528,1.1433059088885789,100
gametes_epistasis_3_way_20atts_0_2h_edm_1_1,histdistill_refined,HistDistill-Refined,budget_25,seed_0,1,0.10044458135962486,0.04888817932223901,0.08034178335219622,50
gametes_epistasis_3_way_20atts_0_2h_edm_1_1,histdistill_refined,HistDistill-Refined,budget_25,seed_0,5,0.3832998424768448,0.13100387329235674,0.2644145831465721,50
gametes_epistasis_3_way_20atts_0_2h_edm_1_1,histdistill_refined,HistDistill-Refined,budget_25,seed_0,10,0.6029712110757828,0.22059421453624964,0.42364418134093285,50
gametes_epistasis_3_way_20atts_0_2h_edm_1_1,histdistill_refined,HistDistill-Refined,budget_25,seed_0,25,1.1814280450344086,0.36123991223052143,0.6750545416027308,50
gametes_epistasis_3_way_20atts_0_2h_edm_1_1,histdistill_refined,HistDistill-Refined,budget_25,seed_0,50,1.5402594208717346,0.5085480201244355,0.9946109056472779,50
gametes_epistasis_3_way_20atts_0_2h_edm_1_1,histdistill_refined,HistDistill-Refined,budget_25,seed_1,1,0.10808895528316498,0.04456517136655748,0.08169191982597113,50
gametes_epistasis_3_way_20atts_0_2h_edm_1_1,histdistill_refined,HistDistill-Refined,budget_25,seed_1,5,0.43585464358329773,0.10706213908270001,0.20028490312397482,50
gametes_epistasis_3_way_20atts_0_2h_edm_1_1,histdistill_refined,HistDistill-Refined,budget_25,seed_1,10,0.5902309119701385,0.17325680304318666,0.3336274608969689,50
gametes_epistasis_3_way_20atts_0_2h_edm_1_1,histdistill_refined,HistDistill-Refined,budget_25,seed_1,25,0.874059185385704,0.300710507594049,0.5801242262125016,50
