dataset,method,budget,seed,auroc,method_label,split_regret,split_regret_norm,split_regret_mean,split_regret_norm_mean,split_regret_root,split_regret_root_norm,split_regret_agreement,split_regret_weighted_agreement,split_regret_states,split_regret_depth_0_norm,split_regret_depth_0_agreement,split_regret_depth_1_norm,split_regret_depth_1_agreement,split_regret_depth_2_norm,split_regret_depth_2_agreement
adult,gain_herding,budget_25,seed_2,0.7734763605868157,Gain sketch,169.47188793858544,0.3883319572295454,118.1118790104452,0.5614745418334324,219.33384117567027,0.2232338528261146,0.12,0.059099941057427434,25.0,0.34945510056932516,0.0,0.5719491984196061,0.125,0.6428328713026945,0.16666666666666666
adult,gain_herding,budget_50,seed_0,0.8012347669061765,Gain sketch,147.2149958122098,0.2669157475057672,80.09615298529263,0.31650429157684123,219.33384117567027,0.2232338528261146,0.08,0.06401183691121468,25.0,0.14229523502418956,0.0,0.2622507622665906,0.125,0.4252604180139465,0.08333333333333333
adult,gain_herding,budget_50,seed_1,0.7976180806866309,Gain sketch,102.69901367309934,0.2058037958323088,60.50623831897993,0.4498094114310039,190.2839959802684,0.19366746748306204,0.2,0.21966202644838245,25.0,0.15671083351413378,0.0,0.40807064633880663,0.25,0.5997596622911645,0.25
adult,gain_herding,budget_50,seed_2,0.782008873312978,Gain sketch,161.3260091059661,0.35170700212439765,106.97233155469675,0.4726051139933432,219.33384117567027,0.2232338528261146,0.08,0.029576129180327523,25.0,0.14945525449555022,0.2,0.5433243066503718,0.0,0.560104760346071,0.08333333333333333
adult,gain_path_herding,budget_25,seed_0,0.7896735786701425,Gain-path sketch,89.45713361729048,0.20045293141942608,60.16170961473421,0.39352890215056185,190.2839959802684,0.19366746748306204,0.2,0.3148870964131287,25.0,0.14702867472792186,0.0,0.32629592709162514,0.375,0.5410593136159529,0.16666666666666666
adult,gain_path_herding,budget_25,seed_1,0.766990942217161,Gain-path sketch,72.53564275648284,0.2473000785024811,72.68495072524853,0.5459807243709099,0.0,0.0,0.2,0.5142016281340529,25.0,0.07924384652090896,0.4,0.6028285926709678,0.25,0.7025558446083718,0.08333333333333333
adult,gain_path_herding,budget_25,seed_2,0.7658186727271906,Gain-path sketch,149.6491238394655,0.34201270906163206,104.02379448993915,0.4723567168293358,190.2839959802684,0.19366746748306204,0.04,0.00013151326030303974,25.0,0.12948832478391276,0.0,0.5149074990228608,0.0,0.5868513587192453,0.08333333333333333
adult,gain_path_herding,budget_50,seed_0,0.8006880968998293,Gain-path sketch,85.15627214189891,0.1767125306519481,53.041161576582255,0.3381357366021148,190.2839959802684,0.19366746748306204,0.28,0.3716402763749004,25.0,0.11893375996388822,0.2,0.29204508540258645,0.375,0.46019699433439487,0.25
adult,gain_path_herding,budget_50,seed_1,0.7954109734901871,Gain-path sketch,16.096138481322033,0.11585640610848005,34.104071601978376,0.4285629054113975,0.0,0.0,0.4,0.8298367723769562,25.0,0.05011655225377735,0.8,0.47035814035469836,0.375,0.5583853959315386,0.25
adult,gain_path_herding,budget_50,seed_2,0.8029200779984429,Gain-path sketch,138.09383502490164,0.24531169114134646,74.6120020372353,0.322423496389731,219.33384117567027,0.2232338528261146,0.28,0.14340842976005225,25.0,0.15507564369241975,0.0,0.18337753893908149,0.5,0.48484907331404375,0.25
adult,gain_path_refined,budget_25,seed_0,0.7836933506431606,Legacy gain-path refined,86.56063817075183,0.18598951401698274,55.8236422241018,0.371867111014096,190.2839959802684,0.19366746748306204,0.24,0.34159479996603637,25.0,0.14702867472792186,0.0,0.32629592709162514,0.375,0.4959305820816491,0.25
adult,gain_path_refined,budget_25,seed_1,0.768231892858793,Legacy gain-path refined,78.91186536210218,0.25500268399096204,74.94579208697301,0.543235516571375,0.0,0.0,0.2,0.5142016281340529,25.0,0.13624429789812387,0.4,0.5735364289536116,0.25,0.6926145827637386,0.08333333333333333
adult,gain_path_refined,budget_25,seed_2,0.7797143947981583,Legacy gain-path refined,150.13416607357695,0.3442866536255495,104.7154189112873,0.4799245189915734,190.2839959802684,0.19366746748306204,0.04,0.00013151326030303974,25.0,0.12948832478391276,0.0,0.5138138684748853,0.0,0.6033467002558907,0.08333333333333333
