selector,dataset,budget,seed,chosen_method,best_method,top1,top3,rank_spearman,candidate_methods
sld,australian,budget_50,seed_2,histdistill_refined,craig_coreset,0.0,1.0,-0.33333333333333337,12
sld,bank_marketing,budget_25,seed_0,histdistill_greedy,histdistill_density,0.0,0.0,0.3824561403508772,12
sld,bank_marketing,budget_25,seed_1,histdistill_greedy,histdistill_density,0.0,0.0,-0.2280701754385965,12
sld,bank_marketing,budget_25,seed_2,histdistill_greedy,gain_path_refined,0.0,0.0,0.4456140350877193,12
sld,bank_marketing,budget_50,seed_0,histdistill_greedy,gain_path_refined,0.0,0.0,0.5017543859649123,12
sld,bank_marketing,budget_50,seed_1,histdistill_greedy,histdistill_refined,0.0,0.0,0.40350877192982465,12
sld,bank_marketing,budget_50,seed_2,histdistill_greedy,histdistill_refined,0.0,0.0,-0.08771929824561404,12
sld,breast_w,budget_25,seed_0,craig_coreset,mvs_coreset,0.0,0.0,-0.27017543859649124,12
sld,breast_w,budget_25,seed_1,gain_path_refined,craig_coreset,0.0,0.0,-0.21403508771929827,12
sld,breast_w,budget_25,seed_2,histdistill_refined,mvs_coreset,0.0,0.0,0.2,12
sld,breast_w,budget_50,seed_0,histdistill_density,mvs_coreset,0.0,0.0,-0.003508771929824562,12
sld,breast_w,budget_50,seed_1,histdistill_refined,el2n_coreset,0.0,0.0,0.2636207937660764,12
sld,breast_w,budget_50,seed_2,histdistill_density,mvs_coreset,0.0,0.0,-0.6070175438596492,12
sld,credit_approval,budget_25,seed_0,histdistill_refined,herding,0.0,0.0,-0.6116002415372972,12
sld,credit_approval,budget_25,seed_1,histdistill_greedy,histdistill_refined,0.0,0.0,-0.15087719298245614,12
sld,credit_approval,budget_25,seed_2,random,histdistill_density,0.0,0.0,-0.3936737186906741,12
sld,credit_approval,budget_50,seed_0,histdistill_greedy,el2n_coreset,0.0,0.0,-0.08070175438596491,12
sld,credit_approval,budget_50,seed_1,histdistill_refined,random,0.0,1.0,0.0736842105263158,12
sld,credit_approval,budget_50,seed_2,histdistill_refined,gain_path_refined,0.0,1.0,-0.1929824561403509,12
sld,credit_g,budget_25,seed_0,herding,gain_path_refined,0.0,0.0,-0.7824561403508773,12
