dataset,budget,seed,method,auroc,sld_inf_norm,sld_root_margin_satisfied,sld_root_agreement_direct,sld_margin_satisfied_rate,sld_rank_correlation_direct,sld_inf_raw
gametes_heterogeneity_20atts_1600_het_0_4_0_2_50_edm_2_001,budget_200,seed_2,histdistill_refined,0.6755820312499999,2.039250547082621,0.0,1.0,0.0,0.6445136196264755,2.0392505470826214
gametes_heterogeneity_20atts_1600_het_0_4_0_2_50_edm_2_001,budget_200,seed_2,random,0.7054609375,3.040292845747993,0.0,1.0,0.0,0.6233071485386991,3.040292845747993
gametes_heterogeneity_20atts_1600_het_0_4_0_2_50_edm_2_001,budget_25,seed_0,gain_path_refined,0.5650625,7.253892494287919,0.0,0.0,0.0,0.4252271310149341,7.253892494287919
gametes_heterogeneity_20atts_1600_het_0_4_0_2_50_edm_2_001,budget_25,seed_0,herding,0.56480078125,8.937427731850876,0.0,0.0,0.0,0.2818552512852629,8.937427731850876
gametes_heterogeneity_20atts_1600_het_0_4_0_2_50_edm_2_001,budget_25,seed_0,histdistill_density,0.5678359375,5.367001879888002,0.0,0.0,0.0,0.4782006714493634,5.367001879888002
gametes_heterogeneity_20atts_1600_het_0_4_0_2_50_edm_2_001,budget_25,seed_0,histdistill_refined,0.5650234375000001,5.3742222629060965,0.0,0.0,0.0,0.4513280044594784,5.3742222629060965
gametes_heterogeneity_20atts_1600_het_0_4_0_2_50_edm_2_001,budget_25,seed_0,random,0.5072578125,57.34415651005777,0.0,0.0,0.0,0.4158434359487053,57.34415651005777
gametes_heterogeneity_20atts_1600_het_0_4_0_2_50_edm_2_001,budget_25,seed_1,gain_path_refined,0.5204531250000001,16.49517314664973,0.0,0.0,0.0,0.3480993369701375,16.49517314664973
gametes_heterogeneity_20atts_1600_het_0_4_0_2_50_edm_2_001,budget_25,seed_1,herding,0.56480078125,9.088978149821502,0.0,0.0,0.0,0.2337956798524698,9.088978149821502
gametes_heterogeneity_20atts_1600_het_0_4_0_2_50_edm_2_001,budget_25,seed_1,histdistill_density,0.534,12.157740605234691,0.0,0.0,0.0,0.3755533330054422,12.157740605234693
gametes_heterogeneity_20atts_1600_het_0_4_0_2_50_edm_2_001,budget_25,seed_1,histdistill_refined,0.529015625,12.187836211997034,0.0,0.0,0.0,0.3280574564651804,12.187836211997034
gametes_heterogeneity_20atts_1600_het_0_4_0_2_50_edm_2_001,budget_25,seed_1,random,0.57308984375,62.94721440876876,0.0,0.0,0.0,0.4020629239414268,62.94721440876876
gametes_heterogeneity_20atts_1600_het_0_4_0_2_50_edm_2_001,budget_25,seed_2,gain_path_refined,0.5771953125,7.377637930025479,0.0,0.0,0.0,0.4765724474062903,7.377637930025479
gametes_heterogeneity_20atts_1600_het_0_4_0_2_50_edm_2_001,budget_25,seed_2,herding,0.56480078125,9.138052990324166,0.0,0.0,0.0,0.2599255476818959,9.138052990324166
gametes_heterogeneity_20atts_1600_het_0_4_0_2_50_edm_2_001,budget_25,seed_2,histdistill_density,0.5875,6.47247631369533,0.0,0.0,0.0,0.5246028929377115,6.47247631369533
gametes_heterogeneity_20atts_1600_het_0_4_0_2_50_edm_2_001,budget_25,seed_2,histdistill_refined,0.58465625,5.434340785863058,0.0,0.0,0.0,0.5313991779031766,5.434340785863058
gametes_heterogeneity_20atts_1600_het_0_4_0_2_50_edm_2_001,budget_25,seed_2,random,0.5075234375,35.790448552007184,0.0,0.0,0.0,0.3348610780375675,35.790448552007184
gametes_heterogeneity_20atts_1600_het_0_4_0_2_50_edm_2_001,budget_50,seed_0,gain_path_refined,0.61991015625,4.000786416635977,0.0,0.0,0.0,0.4801386589361299,4.000786416635977
gametes_heterogeneity_20atts_1600_het_0_4_0_2_50_edm_2_001,budget_50,seed_0,herding,0.59404296875,7.379657995774491,0.0,0.0,0.0,0.2679472447603765,7.379657995774491
gametes_heterogeneity_20atts_1600_het_0_4_0_2_50_edm_2_001,budget_50,seed_0,histdistill_density,0.6128750000000001,3.539792537179436,0.0,0.0,0.0,0.4385353736483944,3.539792537179436
gametes_heterogeneity_20atts_1600_het_0_4_0_2_50_edm_2_001,budget_50,seed_0,histdistill_refined,0.62514453125,3.972554617883088,0.0,0.0,0.0,0.5100618182282616,3.972554617883088
gametes_heterogeneity_20atts_1600_het_0_4_0_2_50_edm_2_001,budget_50,seed_0,random,0.5363085937500001,18.47387874017996,0.0,0.0,0.0,0.4911912116313666,18.473878740179956
gametes_heterogeneity_20atts_1600_het_0_4_0_2_50_edm_2_001,budget_50,seed_1,gain_path_refined,0.6145390625,4.268018545575186,0.0,1.0,0.0,0.549662498578809,4.268018545575186
