dataset,method,budget,distill_train_rows,downstream_train_seconds,auroc_mean
agaricus_lepiota,histdistill_no_weight_fit,budget_25,50.0,0.14663783999470373,0.6197904243745389
agaricus_lepiota,histdistill_no_weight_fit,budget_50,100.0,0.19158328666429345,0.6550628153220475
agaricus_lepiota,histdistill_refined,budget_10,20.0,0.20455382400512462,0.7721772657143978
agaricus_lepiota,histdistill_refined,budget_100,200.0,0.31308772800104634,0.9984761283660771
agaricus_lepiota,histdistill_refined,budget_200,400.0,0.3853374520002399,0.9991961571092572
agaricus_lepiota,histdistill_refined,budget_25,50.0,0.21726754400071513,0.9418283923444108
agaricus_lepiota,histdistill_refined,budget_50,100.0,0.3219666720015812,0.9917620596058682
agaricus_lepiota,histdistill_root_only,budget_25,50.0,0.19715450000173101,0.5733576080360135
agaricus_lepiota,histdistill_root_only,budget_50,100.0,0.2676775199904417,0.6370949058348857
agaricus_lepiota,k_center,budget_10,20.0,0.20917753333348324,0.7238904035417717
agaricus_lepiota,k_center,budget_100,200.0,0.550481113333323,0.9994473781408918
agaricus_lepiota,k_center,budget_25,50.0,0.306655753333204,0.9095032139827118
agaricus_lepiota,k_center,budget_50,100.0,0.3212906599999769,0.9959432966294194
agaricus_lepiota,mvs_coreset,budget_25,50.0,0.1744318199989114,0.8685323063886147
agaricus_lepiota,mvs_coreset,budget_50,100.0,0.24194307333188286,0.980424193384439
agaricus_lepiota,random,budget_10,20.0,0.16795786399987264,0.7509732827308437
agaricus_lepiota,random,budget_100,200.0,0.3014676279998821,0.9925021964982835
agaricus_lepiota,random,budget_200,400.0,0.4425892719977128,0.9976418515197352
agaricus_lepiota,random,budget_25,50.0,0.22421881999915058,0.9207284524273193
agaricus_lepiota,random,budget_50,100.0,0.2424163640003826,0.9803074795672824
agaricus_lepiota,sketch_no_conf,budget_50,100.0,0.27254457999952136,0.9900371064795944
agaricus_lepiota,sketch_no_gain_weight,budget_50,100.0,0.4019585000001825,0.9900371064795944
agaricus_lepiota,sketch_no_grad,budget_50,100.0,0.37151971999956,0.992840019443916
agaricus_lepiota,sketch_no_hess,budget_50,100.0,0.2669919599997229,0.9922938386336121
agaricus_lepiota,sketch_no_raw,budget_50,100.0,0.3151852199996938,0.992862361831955
agaricus_lepiota,sketch_occupancy_only,budget_50,100.0,0.3555562600002304,0.9839854895247413
agaricus_lepiota,tree_region,budget_10,20.0,0.22015135333319147,0.3520933408613091
agaricus_lepiota,tree_region,budget_100,200.0,0.4045378399998905,0.27203427443094846
agaricus_lepiota,tree_region,budget_25,50.0,0.21721852666675356,0.2009770769111548
agaricus_lepiota,tree_region,budget_50,100.0,0.26802378666664783,0.20027389553625252
australian,ablation_full,budget_50,100.0,0.5255857599999217,0.5647008728975942
australian,ablation_no_child,budget_50,100.0,0.7658523800004332,0.7318075367255694
australian,ablation_no_entropy_anneal,budget_50,100.0,0.8157290600001943,0.5939110070257612
australian,ablation_no_gain,budget_50,100.0,0.8317249400000947,0.43389397487758147
australian,ablation_no_hist,budget_50,100.0,0.5728278200000204,0.5782414307004471
australian,ablation_no_margin,budget_50,100.0,0.5647411800000555,0.48279753033851397
australian,ablation_no_marginal,budget_50,100.0,0.3935697599998093,0.5692143921652119
